[21:19:54] Model: mobilenet | Latency: 4.8ms | CPU: 7.7% | RAM: 15.6% | Temp: 56.0C
[21:19:54] Model: mobilenet | Latency: 4.6ms | CPU: 8.3% | RAM: 15.6% | Temp: 55.4C
[21:19:54] Model: mobilenet | Latency: 3.9ms | CPU: 12.0% | RAM: 15.6% | Temp: 54.9C
[21:19:54] Model: mobilenet | Latency: 4.0ms | CPU: 17.9% | RAM: 15.6% | Temp: 55.4C
[21:19:54] Model: mobilenet | Latency: 3.9ms | CPU: 11.5% | RAM: 15.6% | Temp: 55.4C
[21:19:54] Model: mobilenet | Latency: 4.1ms | CPU: 14.8% | RAM: 15.6% | Temp: 54.3C
[21:19:54] Model: mobilenet | Latency: 3.9ms | CPU: 11.5% | RAM: 15.6% | Temp: 54.9C
[21:19:54] Model: mobilenet | Latency: 4.7ms | CPU: 11.5% | RAM: 15.6% | Temp: 54.9C
[21:19:54] Model: mobilenet | Latency: 4.5ms | CPU: 8.3% | RAM: 15.6% | Temp: 54.3C
[21:19:54] Model: mobilenet | Latency: 4.6ms | CPU: 7.7% | RAM: 15.6% | Temp: 55.4C
[21:19:55] Model: mobilenet | Latency: 4.1ms | CPU: 12.0% | RAM: 15.6% | Temp: 55.4C
[21:19:55] Model: mobilenet | Latency: 4.4ms | CPU: 12.0% | RAM: 15.6% | Temp: 53.8C
[21:19:55] Model: mobilenet | Latency: 3.9ms | CPU: 14.3% | RAM: 15.6% | Temp: 55.4C
[21:19:55] Model: mobilenet | Latency: 5.6ms | CPU: 16.0% | RAM: 15.6% | Temp: 54.3C
[21:19:55] Model: mobilenet | Latency: 5.1ms | CPU: 8.0% | RAM: 15.6% | Temp: 54.3C
[21:19:55] Model: mobilenet | Latency: 5.7ms | CPU: 15.4% | RAM: 15.6% | Temp: 55.4C
[21:19:55] Model: mobilenet | Latency: 5.0ms | CPU: 19.2% | RAM: 15.6% | Temp: 55.4C
[21:19:55] Model: mobilenet | Latency: 6.7ms | CPU: 22.2% | RAM: 15.6% | Temp: 54.3C
[21:19:55] Model: mobilenet | Latency: 6.8ms | CPU: 15.4% | RAM: 15.6% | Temp: 55.4C
[21:19:55] Model: mobilenet | Latency: 5.3ms | CPU: 8.3% | RAM: 15.6% | Temp: 55.4C
[21:19:55] Model: mobilenet | Latency: 4.7ms | CPU: 12.0% | RAM: 15.6% | Temp: 54.9C
[21:19:55] Model: mobilenet | Latency: 6.0ms | CPU: 15.4% | RAM: 15.6% | Temp: 54.3C
[21:19:55] Model: mobilenet | Latency: 4.6ms | CPU: 15.4% | RAM: 15.6% | Temp: 55.4C
[21:19:55] Model: mobilenet | Latency: 4.6ms | CPU: 12.0% | RAM: 15.6% | Temp: 54.3C
[21:19:55] Model: mobilenet | Latency: 6.9ms | CPU: 28.0% | RAM: 15.6% | Temp: 54.3C
[21:19:56] Model: mobilenet | Latency: 7.5ms | CPU: 21.4% | RAM: 15.6% | Temp: 55.4C
[21:19:56] Model: mobilenet | Latency: 4.4ms | CPU: 12.5% | RAM: 15.6% | Temp: 55.4C
[21:19:56] Model: mobilenet | Latency: 4.7ms | CPU: 11.5% | RAM: 15.6% | Temp: 54.3C
[21:19:56] Model: mobilenet | Latency: 3.9ms | CPU: 12.0% | RAM: 15.7% | Temp: 54.3C
[21:19:56] Model: mobilenet | Latency: 4.4ms | CPU: 14.3% | RAM: 15.7% | Temp: 55.4C
[21:19:56] Model: mobilenet | Latency: 4.8ms | CPU: 12.0% | RAM: 15.7% | Temp: 53.8C
[21:19:56] Model: mobilenet | Latency: 4.0ms | CPU: 8.0% | RAM: 15.7% | Temp: 56.0C
[21:19:56] Model: mobilenet | Latency: 3.9ms | CPU: 11.5% | RAM: 15.7% | Temp: 54.3C
[21:19:56] Model: mobilenet | Latency: 3.8ms | CPU: 12.0% | RAM: 15.7% | Temp: 54.9C
[21:19:56] Model: mobilenet | Latency: 4.0ms | CPU: 11.1% | RAM: 15.7% | Temp: 53.8C
[21:19:56] Model: mobilenet | Latency: 5.9ms | CPU: 8.0% | RAM: 15.7% | Temp: 54.3C
[21:19:56] Model: mobilenet | Latency: 5.1ms | CPU: 14.8% | RAM: 15.7% | Temp: 55.4C
[21:19:56] Model: mobilenet | Latency: 4.0ms | CPU: 11.5% | RAM: 15.7% | Temp: 54.3C
[21:19:56] Model: mobilenet | Latency: 4.7ms | CPU: 4.2% | RAM: 15.7% | Temp: 56.0C
[21:19:56] Model: mobilenet | Latency: 3.9ms | CPU: 11.5% | RAM: 15.7% | Temp: 55.4C
[21:19:57] Model: mobilenet | Latency: 4.0ms | CPU: 12.0% | RAM: 15.6% | Temp: 53.8C
[21:19:57] Model: mobilenet | Latency: 5.5ms | CPU: 13.8% | RAM: 15.6% | Temp: 54.3C
[21:19:57] Model: mobilenet | Latency: 4.4ms | CPU: 11.5% | RAM: 15.6% | Temp: 54.9C
[21:19:57] Model: mobilenet | Latency: 4.0ms | CPU: 4.5% | RAM: 15.6% | Temp: 55.4C
[21:19:57] Model: mobilenet | Latency: 6.3ms | CPU: 13.8% | RAM: 15.6% | Temp: 54.9C
[21:19:57] Model: mobilenet | Latency: 4.1ms | CPU: 39.1% | RAM: 15.6% | Temp: 54.9C
[21:19:57] Model: mobilenet | Latency: 4.7ms | CPU: 32.1% | RAM: 15.6% | Temp: 56.5C
[21:19:57] Model: mobilenet | Latency: 4.8ms | CPU: 25.9% | RAM: 15.6% | Temp: 56.0C
[21:19:57] Model: mobilenet | Latency: 4.1ms | CPU: 20.8% | RAM: 15.6% | Temp: 56.0C
[21:19:57] Model: mobilenet | Latency: 3.7ms | CPU: 14.3% | RAM: 15.6% | Temp: 54.9C
[21:19:57] Model: mobilenet | Latency: 3.8ms | CPU: 4.3% | RAM: 15.6% | Temp: 55.4C
[21:19:57] Model: mobilenet | Latency: 3.8ms | CPU: 11.5% | RAM: 15.6% | Temp: 55.4C
[21:19:57] Model: mobilenet | Latency: 5.0ms | CPU: 35.7% | RAM: 15.6% | Temp: 54.9C
[21:19:57] Model: mobilenet | Latency: 4.0ms | CPU: 9.1% | RAM: 15.4% | Temp: 56.0C
[21:19:57] Model: mobilenet | Latency: 4.4ms | CPU: 14.3% | RAM: 15.4% | Temp: 56.0C
[21:19:58] Model: mobilenet | Latency: 4.6ms | CPU: 19.2% | RAM: 15.4% | Temp: 56.0C
[21:19:58] Model: mobilenet | Latency: 3.7ms | CPU: 3.8% | RAM: 15.4% | Temp: 55.4C
[21:19:58] Model: mobilenet | Latency: 3.7ms | CPU: 4.2% | RAM: 15.4% | Temp: 54.9C
[21:19:58] Model: mobilenet | Latency: 3.8ms | CPU: 12.0% | RAM: 15.4% | Temp: 54.9C
[21:19:58] Model: mobilenet | Latency: 3.7ms | CPU: 7.7% | RAM: 15.4% | Temp: 56.0C
[21:19:58] Model: mobilenet | Latency: 4.6ms | CPU: 4.5% | RAM: 15.4% | Temp: 56.0C
[21:19:58] Model: mobilenet | Latency: 3.7ms | CPU: 11.1% | RAM: 15.4% | Temp: 55.4C
[21:19:58] Model: mobilenet | Latency: 4.3ms | CPU: 12.5% | RAM: 15.4% | Temp: 54.9C
[21:19:58] Model: mobilenet | Latency: 3.7ms | CPU: 7.4% | RAM: 15.4% | Temp: 56.0C
[21:19:58] Model: mobilenet | Latency: 3.7ms | CPU: 11.5% | RAM: 15.4% | Temp: 55.4C
[21:19:58] Model: mobilenet | Latency: 3.8ms | CPU: 8.0% | RAM: 15.4% | Temp: 54.3C
[21:19:58] Model: mobilenet | Latency: 3.9ms | CPU: 11.5% | RAM: 15.4% | Temp: 56.0C
[21:19:58] Model: mobilenet | Latency: 3.8ms | CPU: 8.0% | RAM: 15.4% | Temp: 54.9C
[21:19:58] Model: mobilenet | Latency: 4.5ms | CPU: 23.3% | RAM: 15.4% | Temp: 54.9C
[21:19:58] Model: mobilenet | Latency: 4.4ms | CPU: 8.0% | RAM: 15.4% | Temp: 55.4C
[21:19:59] Model: mobilenet | Latency: 4.7ms | CPU: 15.4% | RAM: 15.4% | Temp: 55.4C
[21:19:59] Model: mobilenet | Latency: 3.8ms | CPU: 4.0% | RAM: 15.4% | Temp: 53.8C
[21:19:59] Model: mobilenet | Latency: 3.7ms | CPU: 8.3% | RAM: 15.4% | Temp: 54.3C
[21:19:59] Model: mobilenet | Latency: 3.8ms | CPU: 4.0% | RAM: 15.4% | Temp: 54.3C
[21:19:59] Model: mobilenet | Latency: 3.9ms | CPU: 11.5% | RAM: 15.4% | Temp: 55.4C
[21:19:59] Model: mobilenet | Latency: 3.9ms | CPU: 11.5% | RAM: 15.4% | Temp: 56.5C
[21:19:59] Model: mobilenet | Latency: 6.3ms | CPU: 22.6% | RAM: 15.4% | Temp: 56.0C
[21:19:59] Model: mobilenet | Latency: 5.0ms | CPU: 16.0% | RAM: 15.4% | Temp: 55.4C
[21:19:59] Model: mobilenet | Latency: 5.1ms | CPU: 12.0% | RAM: 15.4% | Temp: 56.0C
[21:19:59] Model: mobilenet | Latency: 4.8ms | CPU: 4.2% | RAM: 15.4% | Temp: 54.3C
